,댓글인덱스,추가일시,전체인덱스,채널명,채널인덱스,댓글내용,좋아요
30044,30045,13 14:47:35,16150,LilySeeun릴리세은,808,보통 몇시에 자요,1
30045,30046,13 14:47:36,16151,LilySeeun릴리세은,809,대학교 무슨과 나오셨어영,1
30046,30047,13 14:47:36,16152,LilySeeun릴리세은,810,남동생이 몇살이에요,1
30047,30048,13 14:47:36,16152,LilySeeun릴리세은,810,꿈이 뭐에요,1
30048,30049,13 14:47:36,16152,LilySeeun릴리세은,810,혈액형이 뭐에요,1
30049,30050,13 14:47:36,16153,LilySeeun릴리세은,811,자신만의 성대모사 비법은 뭔가요,1
30050,30051,13 14:47:36,16153,LilySeeun릴리세은,811,유튜브는 언제까지 하실 생각인가요,1
30053,30054,13 14:47:37,16154,LilySeeun릴리세은,812,왜 이렇게 예쁘신가요,1
30054,30055,13 14:47:37,16155,LilySeeun릴리세은,813,세은님 사귀는분 있으세용,1
30055,30056,13 14:47:38,16156,LilySeeun릴리세은,814,닉네임이 왜 릴리 세은 이에요,1
30056,30057,13 14:47:38,16156,LilySeeun릴리세은,814,성대모사 잘 할 려면 어떻게 해야되요,1
30057,30058,13 14:47:38,16156,LilySeeun릴리세은,814,어떻게 하면 릴리 세은님 처럼 이뻐질수 있어요,1
30058,30059,13 14:47:38,16156,LilySeeun릴리세은,814,옷 예뻐요,1
30059,30060,13 14:47:38,16157,LilySeeun릴리세은,815,키랑 몸무게 궁금해요,1
30061,30062,13 14:47:38,16157,LilySeeun릴리세은,815, 좋아하는 옷 스타일 궁금해요,1
30063,30064,13 14:47:39,16159,LilySeeun릴리세은,817,유학생인거에요,1
30064,30065,13 14:47:39,16159,LilySeeun릴리세은,817,아님 이민가셨어요,1
30065,30066,13 14:47:39,16160,LilySeeun릴리세은,818,어느 캐릭터를 좋아하세요,1
30066,30067,13 14:47:40,16161,LilySeeun릴리세은,819,언제부터 캐나다에 계셨어요,1
30068,30069,13 14:47:40,16162,LilySeeun릴리세은,820,♥진짜 캐나다 유학가서 좋은점 뭐예요,1
30069,30070,13 14:47:42,16163,LilySeeun릴리세은,821,처음 외국 갔을때 불편했던점가장 자신있는 성대모사나의 장점은어머니 아버지중 누굴 가장 많이 닮으셨어요,1
30070,30071,13 14:47:42,16163,LilySeeun릴리세은,821,가장 행복한순간은,1
30071,30072,13 14:47:42,16164,LilySeeun릴리세은,822,제가 지금 단발인데 언니 처럼 머리카락 빨리 기르는 방법이나 머리카락을 자르지않게 참는법좀 알려주세요,1
30072,30073,13 14:47:43,16165,LilySeeun릴리세은,823,키 몇이에요,1
30073,30074,13 14:47:43,16165,LilySeeun릴리세은,823,케나다 어디에  살아요,1
30074,30075,13 14:47:43,16166,LilySeeun릴리세은,824, 나이가 어떻게 되나요,1
30075,30076,13 14:47:43,16166,LilySeeun릴리세은,824, 꿈이 뭔가요,1
30076,30077,13 14:47:45,16167,LilySeeun릴리세은,825,본명이뭐에욤몇살이에욤친한 유튜버 있나욤언닌 언제부터그러케 이뻤나♡항상 예쁜영상감사해요,1
30079,30080,13 14:47:46,16168,LilySeeun릴리세은,826,언니가 다니고있는 대학교 과는 무슨 과인가요,1
30080,30081,13 14:47:46,16168,LilySeeun릴리세은,826,캐나다유학은 몇살부터 가셨나요,1
30082,30083,13 14:47:46,16168,LilySeeun릴리세은,826,언니 머리는 고데기인가요,1
30083,30084,13 14:47:46,16168,LilySeeun릴리세은,826,아니면 펌인가요,1
30085,30086,13 14:47:46,16168,LilySeeun릴리세은,826,앞으로도 계속 캐나다에서 사실계획이신가요,1
30086,30087,13 14:47:48,16169,LilySeeun릴리세은,827,남자친구 있어요,1
30087,30088,13 14:47:48,16169,LilySeeun릴리세은,827,캐나다에 혼자 있나요,1
30088,30089,13 14:47:48,16169,LilySeeun릴리세은,827,아님 가족들이랑 살나요,1
30089,30090,13 14:47:48,16169,LilySeeun릴리세은,827,언제 부터 캐나다에 있었어요,1
30090,30091,13 14:47:48,16169,LilySeeun릴리세은,827,공부 잘해요,1
30091,30092,13 14:47:48,16169,LilySeeun릴리세은,827,몇 살이에요,1
30092,30093,13 14:47:48,16169,LilySeeun릴리세은,827,좋아하는 아이돌 있어요,1
30094,30095,13 14:47:48,16171,LilySeeun릴리세은,829,몇살이세요,1
30095,30096,13 14:47:48,16171,LilySeeun릴리세은,829,이름이 뭐예요,1
30096,30097,13 14:47:49,16172,LilySeeun릴리세은,830,실제로 하는 직업이 뭔지 궁금해요,1
30097,30098,13 14:47:49,16172,LilySeeun릴리세은,830,어떻게 그렇게 이쁜지 궁금해요,1
30098,30099,13 14:47:49,16173,LilySeeun릴리세은,831,나이가어떻게되세요,1
30099,30100,13 14:47:49,16173,LilySeeun릴리세은,831,본명이 ♡세은이세요,1
30100,30101,13 14:47:49,16173,LilySeeun릴리세은,831,사시는지역이어디신가요,1
30102,30103,13 14:47:51,16174,LilySeeun릴리세은,832,몆살이세요,1
30103,30104,13 14:47:51,16174,LilySeeun릴리세은,832,애완동물 강아지말고 다른건안키우세요,1
30104,30105,13 14:47:51,16174,LilySeeun릴리세은,832,책많이읽어요,1
30105,30106,13 14:47:51,16174,LilySeeun릴리세은,832,몸무게 몆이예요,1
30111,30112,13 14:47:51,16175,LilySeeun릴리세은,833,화장은 주로 어떻게 하세요,1
30112,30113,13 14:47:51,16175,LilySeeun릴리세은,833,키 몇센티신가요,1
30113,30114,13 14:47:51,16176,LilySeeun릴리세은,834,실제직업이 뭐에요,1
30116,30117,13 14:47:52,16177,LilySeeun릴리세은,835,어떻게 하면 릴리세은님처럼 예쁠수가 있나요,1
30117,30118,13 14:47:52,16177,LilySeeun릴리세은,835,본명이 무엇인가요,1
30119,30120,13 14:47:52,16178,LilySeeun릴리세은,836,캐나다의 좋은 곳궁금한 건 여기서 끝입니당,1
30120,30121,13 14:47:53,16179,LilySeeun릴리세은,837,어디살아염좀그렇나,1
30121,30122,13 14:47:53,16179,LilySeeun릴리세은,837, 남친있어요,1
30122,30123,13 14:47:53,16180,LilySeeun릴리세은,838,1고향2본명3전화번호,1
30123,30124,13 14:47:53,16181,LilySeeun릴리세은,839,위에 사진에서 입고 있는 치마 정보 알려주세요,1
30125,30126,13 14:47:54,16182,LilySeeun릴리세은,840,릴리세은  누나  연기 잘하시네용  화이팅,1
30127,30128,13 14:47:55,16183,LilySeeun릴리세은,841,화이팅 릴리세은 언니 영상이 너무 힐링백,1
30128,30129,13 14:47:55,16184,LilySeeun릴리세은,842,언니 방송하시면서 힘들었던 점 있나요,1
30130,30131,13 14:47:56,16186,LilySeeun릴리세은,844,몇살때 유학가셨나요,1
30131,30132,13 14:47:56,16187,LilySeeun릴리세은,845,직업이 뭐에요,1
30132,30133,13 14:47:56,16187,LilySeeun릴리세은,845,직업이 없다면 꿈은요,1
30133,30134,13 14:47:57,16188,LilySeeun릴리세은,846,나이가 어떻게 되세요,1
30134,30135,13 14:47:57,16189,LilySeeun릴리세은,847,단발로 자르실 생각 있으신가요,1
30135,30136,13 14:47:57,16189,LilySeeun릴리세은,847,자주 쓰는 틴트 뭐예요,1
30136,30137,13 14:47:58,16190,LilySeeun릴리세은,848,왜 이렇게 예뻐요,1
30137,30138,13 14:47:58,16191,LilySeeun릴리세은,849,키가 뭐에요,1
30138,30139,13 14:47:58,16192,LilySeeun릴리세은,850,가족 누구누구있어요,1
30140,30141,13 14:47:59,16193,LilySeeun릴리세은,851,남동생이 멋져보일때가 있으신가요,1
30141,30142,13 14:48:01,16194,LilySeeun릴리세은,852,반모 받으시나요,1
30147,30148,13 14:48:01,16194,LilySeeun릴리세은,852,왜 이름이 릴리세은 이에요,1
30148,30149,13 14:48:01,16194,LilySeeun릴리세은,852,맞구독 하시나요,1
30150,30151,13 14:48:01,16195,LilySeeun릴리세은,853,왤케 이뻐여,1
30151,30152,13 14:48:02,16196,LilySeeun릴리세은,854,성대모사를 많이 하셨던것 같은데 어떤계기로 시작하게 되셨나요,1
30152,30153,13 14:48:02,16196,LilySeeun릴리세은,854,엄마가 좋아요,1
30153,30154,13 14:48:02,16196,LilySeeun릴리세은,854,아빠가 좋아요,1
30154,30155,13 14:48:02,16196,LilySeeun릴리세은,854,뻔한질문카톡 이모티콘 캐릭터중에 무슨 캐릭터가 가장 좋나요,1
30156,30157,13 14:48:02,16196,LilySeeun릴리세은,854,해외여행 가셨나요,1
30157,30158,13 14:48:02,16196,LilySeeun릴리세은,854,가셨다면 어디가 가장 인상 깊으셨나요,1
30158,30159,13 14:48:02,16196,LilySeeun릴리세은,854,릴리세은님이 가장 잘하는 과목은 뭔가요,1
30160,30161,13 14:48:02,16196,LilySeeun릴리세은,854,가장 좋아하는 노래가 뭔가요,1
30161,30162,13 14:48:02,16196,LilySeeun릴리세은,854,릴리세은님이 다니는 학교 인원수는 몇명인가요,1
30162,30163,13 14:48:02,16196,LilySeeun릴리세은,854,릴리세은님이 다니는 학교에서 릴리세은님은 이쁘신 편인가요,1
30164,30165,13 14:48:02,16196,LilySeeun릴리세은,854,릴리세은님 습관 같은거 있으세요,1
30165,30166,13 14:48:02,16196,LilySeeun릴리세은,854,전 손톱 물어뜯는 습관이 있어서잠은 몇시에 자고 몇시에 일어나세요,1
30166,30167,13 14:48:02,16196,LilySeeun릴리세은,854,릴리세은님 왤케 이쁘세용,1
30167,30168,13 14:48:03,16197,LilySeeun릴리세은,855,언니는 어떤음식이 가장좋으세요,1
30168,30169,13 14:48:03,16198,LilySeeun릴리세은,856,언니 왜이렇게 조녜예요,1
30169,30170,13 14:48:04,16199,LilySeeun릴리세은,857,유튜브를 하면서 제일 힘들엇던적이랑 제일 좋앗던적이 언제엿나용,1
30170,30171,13 14:48:04,16200,LilySeeun릴리세은,858,릴리세은 이라는 유튜브 이름을 지으신 이유는 무엇인가요,1
30171,30172,13 14:48:05,16201,LilySeeun릴리세은,859,언니 꿈이 유튜버이시나요,1
30172,30173,13 14:48:05,16201,LilySeeun릴리세은,859,강아지는 무슨종이에요,1
30174,30175,13 14:48:05,16202,LilySeeun릴리세은,860,남자친구 있으신가요,1
30175,30176,13 14:48:05,16203,LilySeeun릴리세은,861,어떻게 그렇게 이쁠수기있어요,1
30176,30177,13 14:48:05,16203,LilySeeun릴리세은,861,비결이 뭐에요,1
30177,30178,13 14:48:05,16203,LilySeeun릴리세은,861,영상편집하는데 주로 몇시간이 걸려요,1
30178,30179,13 14:48:05,16203,LilySeeun릴리세은,861, 남친사귈생각은 있나요,1
30180,30181,13 14:48:05,16203,LilySeeun릴리세은,861,남동생이 귀여운데 남동생이 좋은점은 무엇이에요,1
30181,30182,13 14:48:06,16204,LilySeeun릴리세은,862,몇살이에여,1
30183,30184,13 14:48:07,16206,LilySeeun릴리세은,864,Q왜 이렇게 예쁘세요,1
30184,30185,13 14:48:07,16206,LilySeeun릴리세은,864,Q악기중 뭐를 제일 잘해요,1
30185,30186,13 14:48:07,16206,LilySeeun릴리세은,864,Q몇살이세요,1
30186,30187,13 14:48:07,16207,LilySeeun릴리세은,865,피부관리어떻게하세요,1
30187,30188,13 14:48:08,16208,LilySeeun릴리세은,866,영어를 잘할수 있는방법이 뭘까요  ,1
30188,30189,13 14:48:08,16208,LilySeeun릴리세은,866,언니 머리스타일은 고데기를 한건가요 ,1
30189,30190,13 14:48:08,16208,LilySeeun릴리세은,866,아니면 웨이브를 넣은건가요,1
30190,30191,13 14:48:08,16208,LilySeeun릴리세은,866, 궁금합니당 ♡,1
30191,30192,13 14:48:08,16209,LilySeeun릴리세은,867,꿈이뭐에요,1
30192,30193,13 14:48:10,16210,LilySeeun릴리세은,868,릴리세은님처럼 예뻐질려면 어떻게해요,1
30194,30195,13 14:48:10,16210,LilySeeun릴리세은,868,남친있어요,1
30195,30196,13 14:48:10,16210,LilySeeun릴리세은,868,영상의성격과실제성격이똑같으신가요,1
30196,30197,13 14:48:10,16210,LilySeeun릴리세은,868,쌍수하셨나요,1
30197,30198,13 14:48:10,16211,LilySeeun릴리세은,869,유튜브를 시작한 계기는 뭐에요,1
30198,30199,13 14:48:10,16212,LilySeeun릴리세은,870,남자친구 있어요,1
30199,30200,13 14:48:10,16212,LilySeeun릴리세은,870,가족관계 알려줄수있나요,1
30200,30201,13 14:48:10,16212,LilySeeun릴리세은,870,좋아하는 음식 알려주세요,1
30201,30202,13 14:48:10,16212,LilySeeun릴리세은,870,취미는 뭐죠,1
30206,30207,13 14:48:12,16215,LilySeeun릴리세은,873,릴리세은님 언니 남친 있어요,1
30207,30208,13 14:48:12,16215,LilySeeun릴리세은,873,그리고 남친 몇명 사겨봤어요,1
30208,30209,13 14:48:12,16216,LilySeeun릴리세은,874,왜 이렇게 이쁘신가요,1
30209,30210,13 14:48:12,16216,LilySeeun릴리세은,874,머리카락 몇년동안 기르셨나요,1
30210,30211,13 14:48:12,16216,LilySeeun릴리세은,874,노래 어떡해 잘부르시나요,1
30212,30213,13 14:48:13,16217,LilySeeun릴리세은,875,Q 머리카락 몇cm에요,1
30213,30214,13 14:48:13,16218,LilySeeun릴리세은,876,성대모사 잘하는 비법이 몬가용 꿈이 모에용 구독자 몇명이 목표세용 ,1
30214,30215,13 14:48:13,16219,LilySeeun릴리세은,877,Q 영어 발음 어떻게 해야 잘하는지 알려주세요,1
30215,30216,13 14:48:14,16220,LilySeeun릴리세은,878,키가 몇인가요,1
30216,30217,13 14:48:14,16220,LilySeeun릴리세은,878,혹시 몸무게는혈액형이 뭐에요,1
30217,30218,13 14:48:14,16220,LilySeeun릴리세은,878,♥마지막으로 나이요♡♡,1
30219,30220,13 14:48:15,16222,LilySeeun릴리세은,880,꿈이 뭔가용언제언저영상을 올리실 건가용동생은 몇살이신가용왜 캐다나에 거주하고 계신가용,1
30220,30221,13 14:48:15,16223,LilySeeun릴리세은,881,♡왜 이렇게 이쁘신가요,1
30221,30222,13 14:48:17,16224,LilySeeun릴리세은,882,외국에 거주중이신가요,1
30222,30223,13 14:48:17,16224,LilySeeun릴리세은,882,새해목표는 무엇이신가요,1
30223,30224,13 14:48:17,16224,LilySeeun릴리세은,882,좋아하는 아이돌은 누구인가요,1
30224,30225,13 14:48:17,16224,LilySeeun릴리세은,882,어떤 음식을 가장좋아하시나요,1
30225,30226,13 14:48:17,16224,LilySeeun릴리세은,882,아 그리구 사랑한다구요,1
30228,30229,13 14:48:18,16226,LilySeeun릴리세은,884,성대모사 잘하는법 이랑 목소리 좋아지는 법 알려주세용,0
30229,30230,13 14:48:18,16227,LilySeeun릴리세은,885,Q성대모사  잘하는거 언제 어떻게 알게 됬어요,0
30230,30231,13 14:48:18,16228,LilySeeun릴리세은,886,저를 얼마나사랑하세요 ,0
30231,30232,13 14:48:19,16229,LilySeeun릴리세은,887,언니 립제품 뭐쓰세요,0
30232,30233,13 14:48:19,16230,LilySeeun릴리세은,888,릴리세은님 너무 선하게 생기신 것 같아요 ,0
30234,30235,13 14:48:20,16231,LilySeeun릴리세은,889,어디 살아툐,0
30235,30236,13 14:48:20,16232,LilySeeun릴리세은,890,얼굴이왜케예쁜가요,0
30236,30237,13 14:48:20,16232,LilySeeun릴리세은,890,왜이렇게어리게보이나요,0
30237,30238,13 14:48:20,16232,LilySeeun릴리세은,890,왜너무귀여운가요,0
30239,30240,13 14:48:20,16233,LilySeeun릴리세은,891,아직 캐나다이신가요,0
30240,30241,13 14:48:21,16234,LilySeeun릴리세은,892,Q유튜브를  하게돼신 계기는뭐에요,0
30241,30242,13 14:48:21,16234,LilySeeun릴리세은,892,Q남친잇으세여Q몇살이세요,0
30242,30243,13 14:48:21,16235,LilySeeun릴리세은,893,Q저도 시험보고 캐나다로해외연수가는데 인종차별같은건 없었나요,0
30243,30244,13 14:48:21,16235,LilySeeun릴리세은,893,Q어떻게 친구와 어울리셨나요,0
30244,30245,13 14:48:22,16236,LilySeeun릴리세은,894,캐나다로 유학간 이유가 궁금해용,0
30245,30246,13 14:48:23,16237,LilySeeun릴리세은,895,언니 몇살이예요,0
30246,30247,13 14:48:23,16237,LilySeeun릴리세은,895,유튜브를 시작하게 된 계기가 뭐예요,0
30247,30248,13 14:48:23,16237,LilySeeun릴리세은,895,남자친구 있어요,0
30248,30249,13 14:48:23,16237,LilySeeun릴리세은,895,유학을 가시게 된 계기가 뭐예요,0
30249,30250,13 14:48:23,16237,LilySeeun릴리세은,895,코코는 어떻게 입양하게 된건가요,0
30250,30251,13 14:48:23,16237,LilySeeun릴리세은,895,언니 화장해요,0
30251,30252,13 14:48:23,16237,LilySeeun릴리세은,895,화장품 뭐써요,0
30252,30253,13 14:48:23,16237,LilySeeun릴리세은,895,언니 옷 너무 이뻐요 쇼핑은 어디서해요,0
30254,30255,13 14:48:24,16238,LilySeeun릴리세은,896,Q남자친구가 있나요,0
30255,30256,13 14:48:24,16238,LilySeeun릴리세은,896,Q성대모사를 어떻게 하게 되었나요,0
30256,30257,13 14:48:24,16238,LilySeeun릴리세은,896,Q화장품 뭐 쓰시나요,0
30257,30258,13 14:48:24,16238,LilySeeun릴리세은,896,Q옷을 구매하는 곳은 어디인가요,0
30258,30259,13 14:48:24,16238,LilySeeun릴리세은,896,Q좋아하는 연예인은 누구인가요하고싶은말넘 이뻐여,0
30259,30260,13 14:48:26,16239,LilySeeun릴리세은,897,Q어쩌다 영어 잘하게 됬어요,0
30260,30261,13 14:48:26,16239,LilySeeun릴리세은,897,Q장래희망이 뭐에요,0
30261,30262,13 14:48:26,16239,LilySeeun릴리세은,897,Q목소리를 어떻게 다양하게 낼 수 있나요,0
30262,30263,13 14:48:26,16239,LilySeeun릴리세은,897,Q캐나다에 언제 어떻게 가게 되었나요,0
30264,30265,13 14:48:26,16239,LilySeeun릴리세은,897,저도 나중에 언니처럼 유학가서 즐겁게 보낼수 있겠죠,0
30265,30266,13 14:48:26,16240,LilySeeun릴리세은,898,노래도 잘하시나요,0
30269,30270,13 14:48:27,16241,LilySeeun릴리세은,899,언니의 구독자로써 굉장히 자랑스럽고 뿌듯하네요,0
30270,30271,13 14:48:27,16242,LilySeeun릴리세은,900,혈액형뭐에요,0
30271,30272,13 14:48:28,16243,LilySeeun릴리세은,901,Q남친있어요,0
30272,30273,13 14:48:28,16243,LilySeeun릴리세은,901,Q키몇이에요,0
30273,30274,13 14:48:28,16243,LilySeeun릴리세은,901,Q올해몇살이에요,0
30274,30275,13 14:48:28,16243,LilySeeun릴리세은,901,Q지금쓰는화장품가게는어디인가요,0
30275,30276,13 14:48:28,16243,LilySeeun릴리세은,901,Q머리는염색할건가요,0
30276,30277,13 14:48:28,16244,LilySeeun릴리세은,902,한국으로언제오시나요,0
30277,30278,13 14:48:28,16245,LilySeeun릴리세은,903,왜 이렇게 이쁨미까,0
30279,30280,13 14:48:29,16247,LilySeeun릴리세은,905,어느 나라에 사세요,0
30280,30281,13 14:48:29,16247,LilySeeun릴리세은,905,남자친구 있으세요,0
30281,30282,13 14:48:29,16247,LilySeeun릴리세은,905,몇살이세요,0
30282,30283,13 14:48:30,16248,LilySeeun릴리세은,906,성대모사를 하게된 계기는,0
30284,30285,13 14:48:30,16248,LilySeeun릴리세은,906,정말혹시 시술이나 성형 하셨나요,0
30285,30286,13 14:48:30,16248,LilySeeun릴리세은,906, 제일 좋아하는 연예인은,0
30287,30288,13 14:48:31,16250,LilySeeun릴리세은,908,Q대학교를 졸업하고도 캐나다에서 살거에요,0
30288,30289,13 14:48:31,16251,LilySeeun릴리세은,909,Q구독자 몇명까지 가고 싶으신 가요,0
30289,30290,13 14:48:31,16251,LilySeeun릴리세은,909,Q왜그렇게 이쁘신거죠,0
30290,30291,13 14:48:31,16251,LilySeeun릴리세은,909,Q연기를 어떻게 잘하시져   사랑하고 존경해요,0
30291,30292,13 14:48:32,16252,LilySeeun릴리세은,910,유튜브 어떻기 시작하게 되셧나요,0
30292,30293,13 14:48:32,16252,LilySeeun릴리세은,910,그리구 외국에 언제부터 살게 되셧는지 궁금해요,0
30294,30295,13 14:48:32,16254,LilySeeun릴리세은,912,몇살 때 캐나다에 가신거에요,0
30295,30296,13 14:48:32,16254,LilySeeun릴리세은,912,살고계신 캐나다 지역은 어디인가요,0
30296,30297,13 14:48:34,16255,LilySeeun릴리세은,913,Q 제일 좋아하는 연예인 누구요,0
30297,30298,13 14:48:34,16255,LilySeeun릴리세은,913,Q 어떤 영화를 좋아요,0
30298,30299,13 14:48:34,16255,LilySeeun릴리세은,913,Q 가죽이랑 같이있어면 한국어영어를 말합니까,0
30300,30301,13 14:48:34,16255,LilySeeun릴리세은,913,사랑합니다 ,0
30301,30302,13 14:48:34,16256,LilySeeun릴리세은,914,Q좋아하는 아이돌 있으세요,0
30302,30303,13 14:48:35,16257,LilySeeun릴리세은,915,남친 있어요,0
30305,30306,13 14:48:35,16257,LilySeeun릴리세은,915,4 반모 되나요,0
30306,30307,13 14:48:35,16258,LilySeeun릴리세은,916,학교 어디 다니세요,0
30307,30308,13 14:48:35,16258,LilySeeun릴리세은,916,남친 있으세요,0
30309,30310,13 14:48:36,16259,LilySeeun릴리세은,917,언제 다시 한국으로 오실 생각이세요,0
30310,30311,13 14:48:36,16260,LilySeeun릴리세은,918,나이가 어떻게 되세요,0
30311,30312,13 14:48:38,16261,LilySeeun릴리세은,919,Q왜 닉네임이 릴리세은인가요,0
30312,30313,13 14:48:38,16261,LilySeeun릴리세은,919,Q성대모사를 어떻게 시작했나요,0
30313,30314,13 14:48:38,16261,LilySeeun릴리세은,919,비법같은거 있나욤Q왤케 이쁘세요,0
30317,30318,13 14:48:38,16262,LilySeeun릴리세은,920,꿈이 뭐에요,0
30318,30319,13 14:48:38,16262,LilySeeun릴리세은,920,남친 있어용,0
30319,30320,13 14:48:38,16262,LilySeeun릴리세은,920,대학생이에요,0
30321,30322,13 14:48:38,16263,LilySeeun릴리세은,921,남자친구있어여몇살인가여,0
30322,30323,13 14:48:39,16264,LilySeeun릴리세은,922,Q남친 있어요,0
30323,30324,13 14:48:39,16264,LilySeeun릴리세은,922,Q동생분은 몇살이세요,0
30324,30325,13 14:48:39,16264,LilySeeun릴리세은,922,Q몇살이세요,0
30326,30327,13 14:48:40,16265,LilySeeun릴리세은,923,단발해보실생각없으세여우리나라에 언제 오실수있어여공부잘하세여인기많으세여읽어주시면 감사합니다,0
30327,30328,13 14:48:41,16266,LilySeeun릴리세은,924,넘흐 이쁘세여♥♥ 캐나다 어디에서 사시나여,0
30328,30329,13 14:48:42,16267,LilySeeun릴리세은,925,어떻게 하면 그렇게 예쁘죠,0
30329,30330,13 14:48:42,16267,LilySeeun릴리세은,925,어디 사시나요,0
30330,30331,13 14:48:42,16267,LilySeeun릴리세은,925,혹시 나이가,0
30331,30332,13 14:48:42,16267,LilySeeun릴리세은,925,성대모사를 잘 할수있는 비법은사랑합니다,0
30334,30335,13 14:48:44,16269,LilySeeun릴리세은,927,Q 언니 노래도 잘 부르시고 성대모사도 잘하시고 연기도 잘하시는데 꿈이 무엇인가요,0
30335,30336,13 14:48:44,16269,LilySeeun릴리세은,927,Q 제 꿈이 뮤지컬 배우인데 표정이나 연기 등 또 노래에 대해 어떤 식으로 연습하시는게 있는지 궁금해요,0
30338,30339,13 14:48:45,16270,LilySeeun릴리세은,928,자신만의 공부법 찍어주실수 있으신가요,0
30339,30340,13 14:48:45,16271,LilySeeun릴리세은,929,Q왜 닉네임을 릴리세은 인가요,0
30340,30341,13 14:48:45,16271,LilySeeun릴리세은,929,Q유트브를 시작한계기가 얼마나되나요,0
30341,30342,13 14:48:46,16272,LilySeeun릴리세은,930,꿈이 뭔가요,0
30342,30343,13 14:48:46,16272,LilySeeun릴리세은,930,졸업하면 한국에 오실건가요,0
30343,30344,13 14:48:46,16273,LilySeeun릴리세은,931,캐나다에 언제 가셨어요,0
30344,30345,13 14:48:47,16274,LilySeeun릴리세은,932,Q앞쪽에서 했을진 모르겠지만 고향은어디인가여Q 이상형이 어떻게 되시나여,0
30345,30346,13 14:48:47,16275,LilySeeun릴리세은,933,남친잇어요,0
30346,30347,13 14:48:47,16275,LilySeeun릴리세은,933,편집은 뭘로 하나용,0
30347,30348,13 14:48:49,16276,LilySeeun릴리세은,934, 분홍색 좋아하는거같은데 이유는요,0
30348,30349,13 14:48:49,16276,LilySeeun릴리세은,934, 캐나다랑 한국이랑 비교하자면 어떤가요,0
30349,30350,13 14:48:49,16276,LilySeeun릴리세은,934, 좋아하는 아이돌 있어요,0
30351,30352,13 14:48:49,16276,LilySeeun릴리세은,934, 자주 사용하는 어플이있다면 뭔가요,0
30353,30354,13 14:48:49,16276,LilySeeun릴리세은,934,혹시 저 기억하시나요,0
30356,30357,13 14:48:49,16277,LilySeeun릴리세은,935, 남친 있어여 ,0
30357,30358,13 14:48:49,16277,LilySeeun릴리세은,935, 목소리 어떻게 해요,0
30358,30359,13 14:48:50,16278,LilySeeun릴리세은,936,성대모사 잘하는 비법이 뭔가요,0
30359,30360,13 14:48:51,16279,LilySeeun릴리세은,937,Q옷은 어디에서 자주 구매하시나요,0
30360,30361,13 14:48:51,16279,LilySeeun릴리세은,937,Q캐나다에서 언제 한국으로 돌아올건 가요,0
30361,30362,13 14:48:51,16279,LilySeeun릴리세은,937,Q남친 있으신가요,0
30362,30363,13 14:48:51,16279,LilySeeun릴리세은,937,Q화장품 뭐 쓰시나요,0
30363,30364,13 14:48:51,16279,LilySeeun릴리세은,937,Q나이가 어떻게 되시나요,0
30364,30365,13 14:48:51,16279,LilySeeun릴리세은,937,Q영어를 어떻게 잘 하게 되었나요,0
30365,30366,13 14:48:51,16279,LilySeeun릴리세은,937,Q피부 관리 비법이 무엇인가요,0
30366,30367,13 14:48:51,16279,LilySeeun릴리세은,937,되게 많죠,0
30368,30369,13 14:48:52,16280,LilySeeun릴리세은,938,Q한국 언제와용   Q키가 몇 cm예용Q성대모사를 하게된계기가 어떻게 되요,0
30369,30370,13 14:48:52,16280,LilySeeun릴리세은,938,Q한국친구들이 그립지 않으세욤그리고 언제나 응원하궁 위에 사진 진짜 이뻐용 ,0
30370,30371,13 14:48:52,16281,LilySeeun릴리세은,939,꿈이 뭐에요,0
30373,30374,13 14:48:53,16283,LilySeeun릴리세은,941,너무이쁘세요,0
30374,30375,13 14:48:54,16284,LilySeeun릴리세은,942,유튜브를 시작한 계기가족관계나이좋아하는 아이돌,0
30375,30376,13 14:48:54,16285,LilySeeun릴리세은,943,왜이렇게 이쁘나요,0
30376,30377,13 14:48:54,16285,LilySeeun릴리세은,943,꿈이 무엇인가요,0
30377,30378,13 14:48:54,16285,LilySeeun릴리세은,943,성대모사를 왜 잘하시나요,0
30378,30379,13 14:48:55,16286,LilySeeun릴리세은,944,한국으로 오실 생각은 있으신가요,0
30379,30380,13 14:48:56,16287,LilySeeun릴리세은,945,원래 직업이 무엇인가요,0
30380,30381,13 14:48:56,16287,LilySeeun릴리세은,945,아님 대학생이신가요,0
30381,30382,13 14:48:57,16288,LilySeeun릴리세은,946,뭘 드시고 이뻐지셨나요,0
30382,30383,13 14:48:57,16288,LilySeeun릴리세은,946,계속 캐나다에 사실건가요,0
30383,30384,13 14:48:57,16288,LilySeeun릴리세은,946,2018년의 목표가 무었인가요,0
30384,30385,13 14:48:57,16288,LilySeeun릴리세은,946,가장 이루고 싶은 소원이 무었인가요,0
30385,30386,13 14:48:57,16288,LilySeeun릴리세은,946,캐나다에서 인기많은가요,0
30386,30387,13 14:48:58,16289,LilySeeun릴리세은,947,성대모사어떻게연습하세요,0
30387,30388,13 14:48:58,16289,LilySeeun릴리세은,947,장래희망이뭐에요,0
30388,30389,13 14:48:58,16289,LilySeeun릴리세은,947,나이가어떻게되세요,0
30389,30390,13 14:48:58,16289,LilySeeun릴리세은,947,화장품뭐쓰세요,0
30390,30391,13 14:48:58,16289,LilySeeun릴리세은,947,옷어디꺼입으세요,0
